PoliticalInclination	SeatBeltLaw
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
republican	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
democrat	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
independent	Disagree
